time, topLDR, middleLDR, bottomLDR, topSolenoid, middleSolenoid, bottomSolenoid
1392243234719,351,413,388,false,false,false
1392243234719,351,413,388,false,false,false
1392243234719,351,413,390,false,false,false
1392243234769,350,413,390,false,false,false
1392243234769,350,414,390,false,false,false
1392243234769,350,414,388,false,false,false
1392243234819,349,414,388,false,false,false
1392243234819,349,413,388,false,false,false
1392243234819,349,413,389,false,false,false
1392243234870,351,413,389,false,false,false
1392243234870,351,414,389,false,false,false
1392243234870,351,414,388,false,false,false
1392243234920,351,414,388,false,false,false
1392243234921,351,413,388,false,false,false
1392243234921,351,413,389,false,false,false
1392243234971,351,413,389,false,false,false
1392243234971,351,413,389,false,false,false
1392243234971,351,413,388,false,false,false
1392243235021,351,413,388,false,false,false
1392243235021,351,415,388,false,false,false
1392243235021,351,415,388,false,false,false
1392243235071,351,415,388,false,false,false
1392243235071,351,413,388,false,false,false
1392243235071,351,413,388,false,false,false
1392243235121,351,413,388,false,false,false
1392243235121,351,413,388,false,false,false
1392243235121,351,413,390,false,false,false
1392243235172,350,413,390,false,false,false
1392243235172,350,414,390,false,false,false
1392243235172,350,414,388,false,false,false
1392243235222,351,414,388,false,false,false
1392243235222,351,413,388,false,false,false
1392243235222,351,413,388,false,false,false
1392243235272,351,413,388,false,false,false
1392243235272,351,413,388,false,false,false
1392243235272,351,413,388,false,false,false
1392243235323,350,413,388,false,false,false
1392243235323,350,413,388,false,false,false
1392243235323,350,413,389,false,false,false
1392243235374,351,413,389,false,false,false
1392243235374,351,413,389,false,false,false
1392243235374,351,413,388,false,false,false
1392243235425,351,413,388,false,false,false
1392243235425,351,414,388,false,false,false
1392243235425,351,414,388,false,false,false
1392243235475,351,414,388,false,false,false
1392243235475,351,413,388,false,false,false
1392243235475,351,413,388,false,false,false
1392243235525,351,413,388,false,false,false
1392243235525,351,416,388,false,false,false
1392243235525,351,416,388,false,false,false
1392243235575,351,416,388,false,false,false
1392243235575,351,414,388,false,false,false
1392243235576,351,414,388,false,false,false
1392243235626,351,414,388,false,false,false
1392243235626,351,413,388,false,false,false
1392243235626,351,413,388,false,false,false
1392243235677,351,413,388,false,false,false
1392243235677,351,413,388,false,false,false
1392243235677,351,413,388,false,false,false
1392243235729,351,413,388,false,false,false
1392243235729,351,413,388,false,false,false
1392243235729,351,413,389,false,false,false
1392243235780,350,413,389,false,false,false
1392243235780,350,413,389,false,false,false
1392243235780,350,413,386,false,false,false
1392243235830,350,413,386,false,false,false
1392243235830,350,414,386,false,false,false
1392243235830,350,414,389,false,false,false
1392243235880,351,414,389,false,false,false
1392243235880,351,413,389,false,false,false
1392243235880,351,413,389,false,false,false
1392243235931,351,413,389,false,false,false
1392243235931,351,413,389,false,false,false
1392243235931,351,413,387,false,false,false
1392243235981,351,413,387,false,false,false
1392243235981,351,413,387,false,false,false
1392243235982,351,413,389,false,false,false
1392243236033,351,413,389,false,false,false
1392243236033,351,413,389,false,false,false
1392243236033,351,413,388,false,false,false
1392243236083,351,413,388,false,false,false
1392243236083,351,413,388,false,false,false
1392243236084,351,413,388,false,false,false
1392243236135,351,413,388,false,false,false
1392243236135,351,413,388,false,false,false
1392243236135,351,413,389,false,false,false
1392243236186,351,413,389,false,false,false
1392243236186,351,412,389,false,false,false
1392243236186,351,412,388,false,false,false
1392243236237,351,412,388,false,false,false
1392243236237,351,413,388,false,false,false
1392243236237,351,413,388,false,false,false
1392243236287,351,413,388,false,false,false
1392243236287,351,413,388,false,false,false
1392243236287,351,413,388,false,false,false
1392243236338,351,413,388,false,false,false
1392243236338,351,413,388,false,false,false
1392243236338,351,413,388,false,false,false
1392243236389,350,413,388,false,false,false
1392243236389,350,413,388,false,false,false
1392243236389,350,413,389,false,false,false
1392243236440,351,413,389,false,false,false
1392243236440,351,413,389,false,false,false
1392243236440,351,413,388,false,false,false
1392243236491,351,413,388,false,false,false
1392243236491,351,413,388,false,false,false
1392243236491,351,413,388,false,false,false
1392243236541,349,413,388,false,false,false
1392243236541,349,413,388,false,false,false
1392243236541,349,413,389,false,false,false
1392243236592,351,413,389,false,false,false
1392243236592,351,412,389,false,false,false
1392243236592,351,412,387,false,false,false
1392243236642,352,412,387,false,false,false
1392243236642,352,414,387,false,false,false
1392243236642,352,414,388,false,false,false
1392243236692,351,414,388,false,false,false
1392243236692,351,413,388,false,false,false
1392243236692,351,413,387,false,false,false
1392243236743,351,413,387,false,false,false
1392243236743,351,413,387,false,false,false
1392243236743,351,413,388,false,false,false
1392243236793,351,413,388,false,false,false
1392243236794,351,413,388,false,false,false
1392243236794,351,413,389,false,false,false
1392243236845,351,413,389,false,false,false
1392243236845,351,412,389,false,false,false
1392243236845,351,412,390,false,false,false
1392243236895,350,412,390,false,false,false
1392243236895,350,412,390,false,false,false
1392243236895,350,412,388,false,false,false
1392243236945,351,412,388,false,false,false
1392243236945,351,413,388,false,false,false
1392243236945,351,413,389,false,false,false
1392243236995,351,413,389,false,false,false
1392243236995,351,413,389,false,false,false
1392243236995,351,413,388,false,false,false
1392243237046,350,413,388,false,false,false
1392243237046,350,413,388,false,false,false
1392243237046,350,413,389,false,false,false
1392243237097,351,413,389,false,false,false
1392243237097,351,414,389,false,false,false
1392243237097,351,414,388,false,false,false
1392243237147,351,414,388,false,false,false
1392243237147,351,413,388,false,false,false
1392243237147,351,413,388,false,false,false
1392243237197,351,413,388,false,false,false
1392243237198,351,413,388,false,false,false
1392243237198,351,413,388,false,false,false
1392243237249,350,413,388,false,false,false
1392243237249,350,413,388,false,false,false
1392243237249,350,413,388,false,false,false
1392243237299,353,413,388,false,false,false
1392243237299,353,413,388,false,false,false
1392243237299,353,413,388,false,false,false
1392243237349,351,413,388,false,false,false
1392243237349,351,413,388,false,false,false
1392243237349,351,413,389,false,false,false
1392243237400,351,413,389,false,false,false
1392243237400,351,413,389,false,false,false
1392243237400,351,413,388,false,false,false
1392243237451,351,413,388,false,false,false
1392243237451,351,413,388,false,false,false
1392243237451,351,413,388,false,false,false
1392243237501,351,413,388,false,false,false
1392243237501,351,413,388,false,false,false
1392243237501,351,413,388,false,false,false
1392243237552,351,413,388,false,false,false
1392243237552,351,413,388,false,false,false
1392243237552,351,413,388,false,false,false
1392243237602,351,413,388,false,false,false
1392243237602,351,413,388,false,false,false
1392243237602,351,413,389,false,false,false
1392243237652,351,413,389,false,false,false
1392243237653,351,413,389,false,false,false
1392243237653,351,413,388,false,false,false
1392243237703,350,413,388,false,false,false
1392243237703,350,413,388,false,false,false
1392243237703,350,413,388,false,false,false
1392243237754,351,413,388,false,false,false
1392243237754,351,413,388,false,false,false
1392243237754,351,413,388,false,false,false
1392243237804,351,413,388,false,false,false
1392243237804,351,413,388,false,false,false
1392243237805,351,413,388,false,false,false
1392243237857,350,413,388,false,false,false
1392243237857,350,413,388,false,false,false
1392243237857,350,413,388,false,false,false
1392243237908,351,413,388,false,false,false
1392243237908,351,413,388,false,false,false
1392243237908,351,413,388,false,false,false
1392243237958,351,413,388,false,false,false
1392243237958,351,413,388,false,false,false
1392243237958,351,413,388,false,false,false
1392243238009,351,413,388,false,false,false
1392243238009,351,415,388,false,false,false
1392243238009,351,415,389,false,false,false
1392243238060,352,415,389,false,false,false
1392243238060,352,413,389,false,false,false
1392243238060,352,413,388,false,false,false
1392243238112,351,413,388,false,false,false
1392243238112,351,413,388,false,false,false
1392243238112,351,413,388,false,false,false
1392243238162,351,413,388,false,false,false
1392243238162,351,413,388,false,false,false
1392243238162,351,413,389,false,false,false
1392243238214,351,413,389,false,false,false
1392243238214,351,413,389,false,false,false
1392243238214,351,413,388,false,false,false
1392243238265,354,413,388,false,false,false
1392243238265,354,413,388,false,false,false
1392243238265,354,413,389,false,false,false
1392243238315,351,413,389,false,false,false
1392243238315,351,413,389,false,false,false
1392243238315,351,413,388,false,false,false
1392243238365,351,413,388,false,false,false
1392243238365,351,414,388,false,false,false
1392243238365,351,414,388,false,false,false
1392243238415,351,414,388,false,false,false
1392243238415,351,413,388,false,false,false
1392243238415,351,413,388,false,false,false
1392243238467,354,413,388,false,false,false
1392243238467,354,413,388,false,false,false
1392243238467,354,413,388,false,false,false
1392243238517,350,413,388,false,false,false
1392243238517,350,413,388,false,false,false
1392243238517,350,413,388,false,false,false
1392243238567,351,413,388,false,false,false
1392243238567,351,413,388,false,false,false
1392243238567,351,413,388,false,false,false
1392243238617,352,413,388,false,false,false
1392243238617,352,413,388,false,false,false
1392243238617,352,413,388,false,false,false
1392243238668,351,413,388,false,false,false
1392243238668,351,413,388,false,false,false
1392243238668,351,413,388,false,false,false
1392243238719,351,413,388,false,false,false
1392243238719,351,413,388,false,false,false
1392243238719,351,413,388,false,false,false
1392243238770,350,413,388,false,false,false
1392243238770,350,414,388,false,false,false
1392243238770,350,414,388,false,false,false
1392243238820,350,414,388,false,false,false
1392243238820,350,412,388,false,false,false
1392243238820,350,412,391,false,false,false
1392243238870,351,412,391,false,false,false
1392243238870,351,413,391,false,false,false
1392243238870,351,413,388,false,false,false
1392243238921,351,413,388,false,false,false
1392243238921,351,412,388,false,false,false
1392243238921,351,412,388,false,false,false
1392243238971,351,412,388,false,false,false
1392243238971,351,413,388,false,false,false
1392243238971,351,413,388,false,false,false
1392243239021,351,413,388,false,false,false
1392243239021,351,413,388,false,false,false
1392243239021,351,413,388,false,false,false
1392243239071,351,413,388,false,false,false
1392243239071,351,413,388,false,false,false
1392243239071,351,413,388,false,false,false
1392243239121,351,413,388,false,false,false
1392243239121,351,413,388,false,false,false
1392243239121,351,413,388,false,false,false
1392243239171,349,413,388,false,false,false
1392243239171,349,412,388,false,false,false
1392243239171,349,412,388,false,false,false
1392243239222,351,412,388,false,false,false
1392243239222,351,412,388,false,false,false
1392243239222,351,412,388,false,false,false
1392243239272,351,412,388,false,false,false
1392243239272,351,413,388,false,false,false
1392243239272,351,413,388,false,false,false
1392243239322,351,413,388,false,false,false
1392243239323,351,413,388,false,false,false
1392243239323,351,413,388,false,false,false
1392243239373,353,413,388,false,false,false
1392243239373,353,413,388,false,false,false
1392243239373,353,413,388,false,false,false
1392243239423,351,413,388,false,false,false
1392243239423,351,413,388,false,false,false
1392243239423,351,413,388,false,false,false
1392243239473,351,413,388,false,false,false
1392243239473,351,414,388,false,false,false
1392243239473,351,414,388,false,false,false
1392243239524,351,414,388,false,false,false
1392243239524,351,413,388,false,false,false
1392243239524,351,413,388,false,false,false
1392243239575,351,413,388,false,false,false
1392243239575,351,413,388,false,false,false
1392243239575,351,413,388,false,false,false
1392243239626,351,413,388,false,false,false
1392243239626,351,413,388,false,false,false
1392243239626,351,413,389,false,false,false
1392243239677,351,413,389,false,false,false
1392243239677,351,413,389,false,false,false
1392243239677,351,413,388,false,false,false
1392243239727,351,413,388,false,false,false
1392243239728,351,413,388,false,false,false
1392243239728,351,413,388,false,false,false
1392243239778,351,413,388,false,false,false
1392243239778,351,413,388,false,false,false
1392243239778,351,413,388,false,false,false
1392243239829,351,413,388,false,false,false
1392243239829,351,413,388,false,false,false
1392243239829,351,413,388,false,false,false
1392243239879,350,413,388,false,false,false
1392243239879,350,413,388,false,false,false
1392243239879,350,413,388,false,false,false
1392243239929,351,413,388,false,false,false
1392243239929,351,413,388,false,false,false
1392243239929,351,413,388,false,false,false
1392243239979,351,413,388,false,false,false
1392243239979,351,413,388,false,false,false
1392243239980,351,413,388,false,false,false
1392243240030,351,413,388,false,false,false
1392243240030,351,413,388,false,false,false
1392243240031,351,413,389,false,false,false
1392243240082,351,413,389,false,false,false
1392243240082,351,413,389,false,false,false
1392243240082,351,413,387,false,false,false
1392243240132,351,413,387,false,false,false
1392243240132,351,414,387,false,false,false
1392243240132,351,414,388,false,false,false
1392243240182,351,414,388,false,false,false
1392243240182,351,413,388,false,false,false
1392243240182,351,413,388,false,false,false
1392243240233,351,413,388,false,false,false
1392243240233,351,413,388,false,false,false
1392243240233,351,413,388,false,false,false
1392243240284,351,413,388,false,false,false
1392243240284,351,413,388,false,false,false
1392243240284,351,413,388,false,false,false
1392243240334,351,413,388,false,false,false
1392243240334,351,413,388,false,false,false
1392243240334,351,413,387,false,false,false
1392243240384,350,413,387,false,false,false
1392243240384,350,413,387,false,false,false
1392243240384,350,413,388,false,false,false
1392243240434,351,413,388,false,false,false
1392243240434,351,413,388,false,false,false
